menu_id,menu_category,restaurant_id
1113,SautÉed & Curry,109
1114,curry,109
1115,starters,109
1116,sautéed,109
1117,burger ＆ sandwich,109
1118,sweets,109
1119,eggs,109
1120,bites,109
1121,salads,109
1122,kids’ meal,109
1123,fried rice,109
1124,noodles,109
1125,brunch,110
1126,dinner,110
1127,bar menu,110
1128,drinks - house made aguas y refrescos,110
1129,drinks - beer cervezas,110
1130,drinks - wine,110
1131,cocktails (must be 21 to purchase),111
1132,burgers,111
1133,beer and cider (must be 21 to purchase),111
1134,starters and snacks,111
1135,non alcoholic beverages,111
1136,salads,111
1137,pasta,111
1138,dessert,111
1139,specials,111
1140,white wine (must be 21 to purchase),111
1141,toasts,112
1142,pastries & baked goods,112
1143,coffee & drinks,112
1144,sandwiches,112
1145,our best sellers,112
1146,sliders,112
1147,others,112
1148,salads,112
1149,soups,112
1150,​sausage list,113
1151,sausage menu,113
1152,classics and snacks,113
1153,sides,113
1154,special roll,114
1155,appetizers,114
1156,sashimi 2pcs,114
1157,nigiri /1pcs,114
1158,drink menu,114
1159,vegetarian roll,114
1160,kitchen,114
1161,udon,114
1162,maki,114
1163,temaki （handroll),114
1164,sushi bar special,114
1165,side,114
1166,salads,114
1167,soup & rice,114
1168,omakase (special fish from japan),114
1169,soups and stews|국/찌개,115
1170,specialty banchan|계절반찬,115
1171,appetizers|전체,115
1172,"charcoal bbq|숯불구이  served with ssamjang, gusujang, house chili oil and jangajji",115
1173,desserts|후식,115
1174,tea|차,115
1175,other items from the grill|생선/채소구이,115
1176,gamasot rice dishes serves 2-4 | 가마솥요리,115
1177,for y|곁들임our bbq,115
1178,for your bbq|곁들임,115
1179,othe|생선/채소구이r items from the grill,115
1180,chicken specialty entrees (pollo especialidadoes),116
1181,sides,116
1182,beef specialty entrees (carne especialidadoes),116
1183,breakfast mexican style (estilo mexicano),116
1184,kid's plate,116
1185,lunch,116
1186,traditional plates,116
1187,drinks (bebidas),116
1188,seafood (marisccos),116
1189,seafood,116
1190,pork specialty entrees (puerco especialidadoes),116
1191,breakfast american style (estilo americano),116
1192,appetizers,116
1193,desserts,116
1194,lunch specials (especiales del dia),116
1195,salads,116
1196,breakfast omelettes,116
1197,choice per pound,117
1198,pasta,117
1199,entree,117
1200,dessert,117
1201,salad,117
1202,sandwich,117
1203,soup,117
1204,soft drinks,117
1205,alcohol,117
1206,sides,117
1207,appetizer,117
1208,fried,117
1209,gift certificate,117
1210,kids meal,117
1211,merchandise,117
1212,side items & a la carte,118
1213,canned/bottled drinks (non-alcoholic),118
1214,beverages frescas (non-alcoholic),118
1215,food,118
1216,kids menu,118
1217,featured items,118
1218,sf mission exclusives,118
1219,beer,118
1220,vegano menu,118
1221,toast,119
1222,smoothies,119
1223,vegan smoothies,119
1224,bowls,119
1225,coffee,119
1226,fresh juice,119
1227,cold-pressed juices,119
1228,cafe menu,120
1229,to pastry,121
1230,to drink,121
1231,to food,121
1232,to sides,121
1233,to retail,121
1234,sushi hon,122
1235,sea,123
1236,fried rice,123
1237,noodle soup,123
1238,salads,123
1239,side orders,123
1240,appetizers,123
1241,entrees,123
1242,pan fried noodle,123
1243,vegetarian and vegan options,123
1244,desserts,123
1245,curries,123
1246,beverages,123
1247,chef's suggestions,123
1248,soups,123
1249,breakfast,124
1250,drinks,124
1251,kids menu,124
1252,specials,124
1253,burritos,124
1254,entrees,124
1255,starters,124
1256,sweet,124
1257,soups & saladssoups & salads,124
1258,tacos,124
1259,soups & salads,124
1260,alcoholic drinks,124
1261,quesadillasquesadillas,124
1262,tortas,124
1263,quesadillas,124
1264,sweets,124
1265,salads,125
1266,tacos,125
1267,sides,125
1268,dulce,125
1269,snacks,125
1270,KIDS MENU,125
1271,appetizers,126
1272,sides & extras,126
1273,new menu,126
1274,weekend specials,126
1275,sides & add ons,126
1276,breakfast,126
1277,mimosas,126
1278,sides,127
1279,bebidas-beverges,127
1280,tacos regular,127
1281,tacos especiales,127
1282,choriqueso,127
1283,burrito,127
1284,alambers,127
1285,quesadillas,127
1286,shrimp ceviche,127
1287,mulitas,127
1288,burritos,127
1289,enchiladas,127
